,patent_id,score,title
0,US-9367835-B2,12.484945289522381,Retrofit devices for providing virtual ticket-in and ticket-out on a gaming machine
1,US-9008652-B2,12.484945289522381,Method and system integrating geographical location information and bluetooth technology for relaying electronic business card
2,US-9357280-B2,8.323296859681587,Apparatus having an acoustic display
3,US-9433108-B2,8.323296859681587,Method of fabricating a circuit board structure having an embedded electronic element
4,US-9603387-B2,7.570312303904604,Electronic cigarette and its soft sucking rod
5,US-9155337-B2,7.570312303904604,Usage control of electronic cigarette
6,US-9244878-B2,6.936080716401323,Handheld electronic device and display method for a handheld electronic device
7,US-9290097-B2,6.936080716401323,Apparatus for transferring energy using onboard power electronics with high-frequency transformer isolation and method of manufacturing same
8,US-8983021-B2,5.548864573121058,"Reset circuit for gate driver on array, array substrate, and display"
9,US-9491546-B2,5.548864573121058,Electronic device and audio-data transmission method
