,patent_id,score,title
0,US-9104773-B2,16.602059991327963,Finding and consuming web subscriptions in a web browser
1,US-9053581-B2,16.10720996964787,Hidden line grids in a browser environment
2,US-9582666-B1,8.602059991327963,Computer system for improved security of server computers interacting with client computers
3,US-9021034-B2,8.0,Incorporating external event information into a social networking system
4,US-9508046-B2,6.0,Methods and systems for providing web content to a printing device
5,US-9222002-B2,6.0,Method for producing an adhesive tape
6,US-9550118-B2,4.301029995663981,Method for simulating video games on mobile device
7,US-9536013-B2,4.0,Method and apparatus for web browsing of handheld device
8,US-9145284-B2,2.0,Method for producing a track and track for a track lifting device
9,US-9248469-B2,2.0,Closure seal
